Unique.ID,Grantor,Grantee,Program,Year,Date,EndDate,Amount,AmendmentNumber,Funding.Agency,Funding.Source,Category,Location,Issued,Funding.Type,Years,Average.By.Year,City.Year,Population,Amount.Per.Capita,Amount.Per.PEH,Population.PEH,ExpenditureType
,City of Imperial Beach,,,2022.0,,,0,,,,,,,,,,City of Imperial Beach|2022,,$0.00 ,$0.00 ,0.0,Other/Unknown
,City of Imperial Beach,,,2021.0,,,0,,,,,,,,,,City of Imperial Beach|2021,,$0.00 ,$0.00 ,0.0,Other/Unknown
,City of Imperial Beach,,,2020.0,,,0,,,,,,,,,,City of Imperial Beach|2020,,$0.00 ,$0.00 ,16.0,Other/Unknown
,City of Imperial Beach,,,2019.0,,,0,,,,,,,,,,City of Imperial Beach|2019,,$0.00 ,$0.00 ,12.0,Other/Unknown
,City of Imperial Beach,,,2018.0,,,0,,,,,,,,,,City of Imperial Beach|2018,,$0.00 ,$0.00 ,7.0,Other/Unknown
,City of Imperial Beach,,,2017.0,,,0,,,,,,,,,,City of Imperial Beach|2017,,$0.00 ,$0.00 ,22.0,Other/Unknown
,City of Imperial Beach,,,2016.0,,,0,,,,,,,,,,City of Imperial Beach|2016,,$0.00 ,$0.00 ,12.0,Other/Unknown
,City of Imperial Beach,,,2015.0,,,0,,,,,,,,,,City of Imperial Beach|2015,,$0.00 ,$0.00 ,46.0,Other/Unknown
,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,10/23/2017,,"$14,142.74 ",,,HOME,,,,,,,City of Chula Vista|2017,266427.0,$0.05 ,$38.54 ,367.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,10/23/2017,,"$12,931.10 ",,,HOME,,,,,,,City of Chula Vista|2017,266427.0,$0.05 ,$35.23 ,367.0,Prevention
,City of Chula Vista,SBCS CORPORATION,housing assistance,2017.0,10/23/2017,,"$10,285.61 ",,,HOME,,,,,,,City of Chula Vista|2017,266427.0,$0.04 ,$28.03 ,367.0,Prevention
1068,City of Chula Vista,SBCS CORPORATION,homelessness services,2017.0,11/7/2017,,$276.00 ,,,CDBG,Supportive Services,,,,,,City of Chula Vista|2017,266427.0,$0.00 ,$0.75 ,367.0,Crisis Management
1067,City of Chula Vista,INTERFAITH SHELTER NETWORK,housing assistance,2017.0,11/8/2017,,"$1,971.50 ",,,CDBG,,,,,,,City of Chula Vista|2017,266427.0,$0.01 ,$5.37 ,367.0,Crisis Management
