City,Year,Total PEH,Unsheltered PEH,Population,"PEH Per 100,000","Unsheltered Per 100,000",Latitude,Longitude
Carlsbad,2015,88,21,112662,78.10974419,18.63982532,33.158092,-117.350594
Chula Vista,2015,498,321,264206,188.4892849,121.4961053,32.639954,-117.106705
El Cajon,2015,711,191,103230,688.7532694,185.0237334,32.794773,-116.962524
Encinitas,2015,123,80,62590,196.5170155,127.815945,33.039139,-117.295425
Escondido,2015,430,112,150683,285.3672943,74.32822548,33.124722,-117.080833
Imperial Beach,2015,46,46,27259,168.751605,168.751605,32.5839,-117.1131
La Mesa,2015,19,19,59697,31.82739501,31.82739501,32.7695,-117.0203
Lemon Grove,2015,11,11,26554,41.42502071,41.42502071,32.733451,-117.033702
National City,2015,153,137,60721,251.9721348,225.6221077,32.669164,-117.089
Oceanside,2015,420,158,175189,239.7410796,90.18831091,33.211666,-117.325836
San Diego,2015,5538,2765,1387323,399.1860583,199.3047041,32.715736,-117.161087
Santee,2015,30,30,57471,52.20024012,52.20024012,32.838383,-116.973915
Carlsbad,2016,108,41,113265,95.35160906,36.19829603,33.158092,-117.350594
Chula Vista,2016,538,380,266238,202.0748353,142.7294376,32.639954,-117.106705
Coronado,2016,6,6,25084,23.91963004,23.91963004,32.631718,-117.136772
El Cajon,2016,321,218,103527,310.0640413,210.5730872,32.794773,-116.962524
Encinitas,2016,93,54,62921,147.8043896,85.82190366,33.039139,-117.295425
Escondido,2016,532,225,151204,351.8425438,148.8055872,33.124722,-117.080833
Imperial Beach,2016,12,12,27329,43.90940027,43.90940027,32.5839,-117.1131
La Mesa,2016,31,31,59751,51.88197687,51.88197687,32.7695,-117.0203
Lemon Grove,2016,12,12,26766,44.83299709,44.83299709,32.733451,-117.033702
National City,2016,332,299,60967,544.5568914,490.4292486,32.669164,-117.089
Oceanside,2016,667,392,175451,380.1631225,223.4242039,33.211666,-117.325836
Poway,2016,10,10,49915,20.0340579,20.0340579,32.969895,-117.038479
San Diego,2016,5093,2745,1402089,363.2437028,195.7792979,32.715736,-117.161087
San Marcos,2016,99,44,94932,104.2851725,46.34896558,33.1385,-117.1688
Santee,2016,63,63,57678,109.2270883,109.2270883,32.838383,-116.973915
Vista,2016,423,64,100746,419.8677863,63.52609533,33.193611,-117.241112
Carlsbad,2017,160,101,114477,139.7660665,88.22732951,33.158092,-117.350594
Chula Vista,2017,367,262,269046,136.4079005,97.38111698,32.639954,-117.106705
Coronado,2017,5,5,24323,20.55667475,20.55667475,32.631718,-117.136772
El Cajon,2017,453,323,103486,437.7403707,312.1195138,32.794773,-116.962524
Encinitas,2017,150,84,62884,238.5344444,133.5792888,33.039139,-117.295425
Escondido,2017,780,254,151220,515.8047877,167.9672001,33.124722,-117.080833
Imperial Beach,2017,22,22,27278,80.65107413,80.65107413,32.5839,-117.1131
La Mesa,2017,25,25,59722,41.86062088,41.86062088,32.7695,-117.0203
Lemon Grove,2017,36,36,26963,133.5163001,133.5163001,32.733451,-117.033702
National City,2017,312,276,61083,510.7804135,451.844212,32.669164,-117.089
Oceanside,2017,701,361,175884,398.5581406,205.2489141,33.211666,-117.325836
Poway,2017,8,8,49802,16.0636119,16.0636119,32.969895,-117.038479
San Diego,2017,5619,3231,1412621,397.7712352,228.7237695,32.715736,-117.161087
San Marcos,2017,170,52,95614,177.7982304,54.38534106,33.1385,-117.1688
Santee,2017,49,49,57825,84.73843493,84.73843493,32.838383,-116.973915
Vista,2017,852,206,100740,845.7415128,204.4867977,33.193611,-117.241112
Carlsbad,2018,210,152,115518,181.7898509,131.5812254,33.158092,-117.350594
Chula Vista,2018,337,229,270819,124.4373548,84.55832124,32.639954,-117.106705
Coronado,2018,6,6,21336,28.12148481,28.12148481,32.631718,-117.136772
El Cajon,2018,679,288,103041,658.9609961,279.500393,32.794773,-116.962524
Encinitas,2018,125,86,62750,199.2031873,137.0517928,33.039139,-117.295425
Escondido,2018,411,263,151793,270.7634739,173.2622716,33.124722,-117.080833
Imperial Beach,2018,20,20,27362,73.09407207,73.09407207,32.5839,-117.1131
La Mesa,2018,41,12,59389,69.03635353,20.20576201,32.7695,-117.0203
