Year,County,NCICCode,Month,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT200nao_sum,LT50200nao_sum,LT50nao_sum
2012,San Diego County,San Diego Co. Sheriff's Department,1,141,2,5,22,112,604,179,98,327,65,2,0,4,59,79,18,8,53,2,1,1,4,2,5,0,4,1,5,12,8,6,0,2,4,1,1,9,21,48,34,103,76,116,6,56,54,63,11,16,36,88,3,7,0,3,44,142,17,4,77,1,39,148.0,47.0,,57,75
2012,San Diego County,San Diego Co. Sheriff's Department,2,116,0,11,18,87,531,176,72,283,43,0,1,1,41,55,11,10,34,1,1,1,3,1,11,0,9,2,2,5,8,2,0,1,5,1,1,20,8,34,25,86,90,130,16,66,48,46,12,12,22,68,1,3,1,2,37,120,21,4,59,0,39,117.0,59.0,,42,65
2012,San Diego County,San Diego Co. Sheriff's Department,3,90,0,6,9,75,530,201,63,266,28,0,6,2,20,36,9,6,21,0,0,1,1,0,6,0,1,3,2,3,8,0,0,0,1,0,0,7,4,36,28,108,93,154,11,67,76,47,11,10,26,56,0,7,0,3,24,100,28,6,61,0,44,124.0,48.0,,40,54
2012,San Diego County,San Diego Co. Sheriff's Department,4,152,4,4,19,125,501,152,66,283,151,5,12,14,120,140,42,25,73,1,1,3,5,1,4,0,5,3,5,6,4,6,0,0,0,1,8,6,24,63,32,78,74,116,7,57,52,36,9,10,17,63,0,3,2,-2,49,138,11,4,60,0,21,126.0,50.0,,54,53
2012,San Diego County,San Diego Co. Sheriff's Department,5,141,2,3,25,111,483,171,69,243,88,2,4,9,73,69,22,12,35,1,0,0,1,0,1,2,7,0,5,13,12,2,0,3,5,1,2,7,21,47,36,87,84,126,13,58,55,45,9,7,29,62,1,6,0,1,22,107,17,1,67,2,26,120.0,35.0,,33,55
2012,San Diego County,San Diego Co. Sheriff's Department,6,140,4,12,16,108,582,156,106,320,86,1,3,9,73,110,45,27,38,0,0,2,2,1,9,3,2,0,5,9,11,2,0,0,3,1,-1,13,13,51,31,78,78,122,19,49,54,34,8,2,24,96,2,8,0,3,39,147,21,5,69,-1,37,147.0,50.0,,51,72
2012,San Diego County,San Diego Co. Sheriff's Department,7,159,0,7,33,119,530,143,104,283,94,1,6,20,67,121,38,25,58,1,0,0,1,0,6,1,7,5,3,18,13,4,2,3,10,0,1,14,11,68,26,73,70,102,8,39,55,41,11,3,27,96,1,7,0,3,41,127,14,11,60,0,27,114.0,45.0,,58,66
2012,San Diego County,San Diego Co. Sheriff's Department,8,139,0,10,29,100,527,169,83,275,82,0,3,15,64,85,24,16,45,1,1,2,4,1,10,0,8,2,6,13,11,6,0,4,5,0,3,10,9,54,27,83,86,113,13,40,60,56,13,9,34,72,0,11,2,3,44,117,22,3,56,0,28,124.0,41.0,,49,61
2012,San Diego County,San Diego Co. Sheriff's Department,9,165,3,5,18,139,465,128,75,262,87,2,1,5,79,65,10,14,41,0,0,0,0,0,4,1,8,1,1,8,6,6,0,2,3,1,0,22,24,52,41,57,71,90,12,31,47,38,18,5,15,71,0,4,0,1,50,94,18,6,62,0,31,123.0,43.0,,31,65
2012,San Diego County,San Diego Co. Sheriff's Department,10,148,0,9,15,124,536,156,83,297,108,0,7,6,95,94,26,19,49,0,0,1,1,1,7,2,1,5,6,3,6,1,1,4,1,1,1,9,20,62,33,103,53,98,15,37,46,58,19,4,35,75,2,6,1,2,40,123,25,6,60,0,40,143.0,46.0,,50,58
